,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
918,14666,212,135,23,192
919,16864,1242,3,903,18
920,15456,390,92,265,127
921,23755,1243,93,1127,129
922,16659,1210,5,655,45
923,22751,1783,1,1642,7
924,19219,312,108,610,53
925,19372,1240,8,681,45
926,15989,931,17,913,18
927,18385,456,78,563,59
928,23100,1735,5,1832,1
929,17580,85,172,125,159
930,18831,348,101,883,21
931,17415,260,118,529,61
932,16729,403,83,715,37
933,15918,995,15,732,33
934,23064,1435,45,1310,80
935,17754,1012,17,321,100
936,18903,957,18,1265,6
937,16514,1135,8,724,33
938,20283,548,56,163,152
939,22880,1463,40,1714,6
940,15149,1456,1,976,12
941,17564,355,96,985,18
942,16944,354,91,234,121
943,21813,1536,22,1209,104
944,21730,1584,14,1255,93
945,19014,411,83,772,32
946,18282,5,203,244,135
947,15229,401,87,573,54
948,16823,326,98,226,122
949,19686,271,116,289,113
950,19007,1323,4,1173,9
951,15224,180,147,125,162
952,14627,952,15,669,37
953,17296,614,46,217,132
954,16489,540,61,306,110
955,21104,1734,2,1366,63
956,18399,626,44,142,160
957,22333,1436,48,1531,23
958,15054,312,110,833,22
959,18911,347,97,246,134
960,23199,1820,2,1618,16
961,23000,1369,65,1138,123
962,20447,2036,12,2099,7
963,19510,828,30,582,62
964,19220,686,39,713,36
965,19545,1049,17,343,95
966,22556,1364,65,1070,145
967,16147,380,96,325,102
968,18627,359,94,329,104
969,18086,282,123,238,134
970,16217,987,15,1089,9
971,15746,773,30,565,54
972,17820,823,27,462,75
973,15135,368,92,383,87
974,15788,434,81,492,68
975,16135,304,114,312,108
976,23482,873,194,1054,147
977,22192,1550,20,1542,22
978,17229,207,136,296,108
979,22901,1165,114,1642,11
980,19356,299,115,116,173
981,19373,591,60,1379,5
982,20258,516,62,444,70
983,22583,1322,77,1135,125
984,21436,1230,98,1569,16
985,17263,373,87,486,67
